Client Order ID,Order ID,Instrument,Side,Price,Quantity,Status,Reason,Transaction Time,
aa13,ord1,Rose,Sell,55,100,New,,20231216-232205.312,
aa14,ord2,Rose,Sell,65,101,Rejected,Invalid quantity for order aa14: 101,20231216-232205.313,
aa15,ord3,Rose,Buy,55,100,PFill,,20231216-232205.313,
aa13,ord1,Rose,Sell,55,100,Fill,,20231216-232205.313,
aa16,ord4,Rose,Buy,55,100,New,,20231216-232205.313,
aa15,ord3,Rose,Buy,55,100,Fill,,20231216-232205.313,
aa17,ord5,Rose,Sell,55,100,Fill,,20231216-232205.313,
aa18,ord6,Rose,Buy,30,1000,New,,20231216-232205.313,
aa19,ord7,Rose,Sell,-25,60,Rejected,Invalid price for order aa19: -25.000000,20231216-232205.313,
aa20,ord8,Rose,Sell,35,70,Rejected,Invalid side for order aa20: 3,20231216-232205.313,
aa21,ord9,Rose,Sell,-25,1000,Rejected,Invalid side for order aa21: 3,20231216-232205.313,
bb13,ord10,Lavender,Buy,45,90,New,,20231216-232205.313,
cc13,ord11,Tulip,Buy,50,20,New,,20231216-232205.313,
cc14,ord12,Tulip,Sell,55,30,New,,20231216-232205.313,
cc15,ord13,Tulip,Buy,55,10,Fill,,20231216-232205.313,
cc14,ord12,Tulip,Sell,55,10,PFill,,20231216-232205.313,
dd13,ord14,Orchid,Sell,70,200,New,,20231216-232205.313,
dd14,ord15,Orchid,Buy,65,300,New,,20231216-232205.313,
bb14,ord16,Lavender,Buy,45,90,New,,20231216-232205.313,
bb13,ord10,Lavender,Buy,45,90,Fill,,20231216-232205.313,
bb15,ord17,Lavender,Sell,45,90,PFill,,20231216-232205.313,
bb14,ord16,Lavender,Buy,45,90,Fill,,20231216-232205.313,
bb15,ord17,Lavender,Sell,45,90,Fill,,20231216-232205.313,
ff13,ord18,Lotus,Sell,50,120,New,,20231216-232205.313,
ff14,ord19,Lotus,Buy,50,110,Fill,,20231216-232205.313,
ff13,ord18,Lotus,Sell,50,110,PFill,,20231216-232205.313,
aa22,ord20,Rose,Buy,50,200,New,,20231216-232205.313,
aa16,ord4,Rose,Buy,55,100,Fill,,20231216-232205.313,
aa23,ord21,Rose,Sell,55,100,PFill,,20231216-232205.313,
aa22,ord20,Rose,Buy,50,100,PFill,,20231216-232205.313,
aa23,ord21,Rose,Sell,50,100,Fill,,20231216-232205.313,
hh13,ord22,Lily,Sell,20,90,Rejected,Invalid instrument: Lily,20231216-232205.313,
hh14,ord23,Lily,Buy,25,80,Rejected,Invalid instrument: Lily,20231216-232205.313,
aa24,ord24,Rose,Sell,55,100,New,,20231216-232205.313,
bb16,ord25,Lavender,Sell,30,60,New,,20231216-232205.313,
cc13,ord11,Tulip,Buy,50,20,Fill,,20231216-232205.313,
cc16,ord26,Tulip,Sell,50,20,PFill,,20231216-232205.313,
cc17,ord27,Tulip,Buy,45,130,PFill,,20231216-232205.313,
cc16,ord26,Tulip,Sell,45,130,Fill,,20231216-232205.313,
dd15,ord28,Orchid,Buy,55,130,New,,20231216-232205.313,
dd14,ord15,Orchid,Buy,65,120,PFill,,20231216-232205.313,
dd16,ord29,Orchid,Sell,65,120,Fill,,20231216-232205.313,
hh15,ord30,Lily,Sell,65,110,Rejected,Invalid instrument: Lily,20231216-232205.313,
hh16,ord31,Lily,Buy,70,100,Rejected,Invalid instrument: Lily,20231216-232205.313,
ff15,ord32,Lotus,Buy,50,10,PFill,,20231216-232205.313,
ff13,ord18,Lotus,Sell,50,10,Fill,,20231216-232205.313,
ff16,ord33,Lotus,Sell,80,100,New,,20231216-232205.313,
